870,申,shēn
871,升,shēng
872,舍,shě
873,邥,shěn
874,省,shěng
875,尸,shī
876,收,shōu
877,殳,shū
878,傻,shǎ
879,繺,shǎi
880,闪,shǎn
881,垧,shǎng
882,少,shǎo
883,矢,shǐ
884,手,shǒu
885,黍,shǔ
886,吮,shǔn
887,鯂,su
888,嗦,suo
889,祘,suàn
890,岁,suì
891,绥,suí
892,逤,suò
893,狻,suān
894,虽,suī
895,娑,suō
896,髓,suǐ
897,所,suǒ
898,卅,sà
899,赛,sài
900,散,sàn
901,丧,sàng
902,埽,sào
903,色,sè
904,巳,sì
905,讼,sòng
906,膄,sòu
907,夙,sù
908,俗,sú
909,仨,sā
910,腮,sāi
911,三,sān
912,桑,sāng
913,搔,sāo
914,森,sēn
915,僧,sēng
916,丝,sī
917,忪,sōng
918,蓃,sōu
919,苏,sū
920,孙,sūn
921,洒,sǎ
922,伞,sǎn
923,搡,sǎng
924,扫,sǎo
925,死,sǐ
926,怂,sǒng
927,叟,sǒu
928,隼,sǔn
929,粏,tai
930,笹,ti
931,碵,tian
932,掭,tiàn
933,粜,tiào
934,田,tián
935,条,tiáo
936,餮,tiè
937,天,tiān
938,佻,tiāo
939,帖,tiē
940,铁,tiě
941,忝,tiǎn
942,窕,tiǎo
943,莵,tu
944,彖,tuàn
945,团,tuán
946,退,tuì
947,颓,tuí
948,柝,tuò
949,驮,tuó
950,湍,tuān
951,推,tuī
952,乇,tuō
953,疃,tuǎn
954,腿,tuǐ
955,妥,tuǒ
956,拓,tà
957,太,tài
958,叹,tàn
959,烫,tàng
960,套,tào
961,蹹,tá
962,台,tái
963,坛,tán
964,饧,táng
965,迯,táo
966,忑,tè
967,疼,téng
968,迏,tì
969,荑,tí
970,廷,tíng
971,恸,tòng
972,透,tòu
973,仝,tóng
974,头,tóu
975,兔,tù
976,图,tú
977,屯,tún
978,它,tā
979,胎,tāi
980,坍,tān
981,汤,tāng
982,绦,tāo
983,膯,tēng
984,剔,tī
985,厅,tīng
986,通,tōng
987,偷,tōu
988,凸,tū
989,吞,tūn
990,塔,tǎ
991,忐,tǎn
992,帑,tǎng
993,讨,tǎo
994,体,tǐ
995,挺,tǐng
996,统,tǒng
997,钭,tǒu
998,土,tǔ
999,氽,tǔn
1000,哇,wa
1001,袜,wà
1002,外,wài
1003,万,wàn
1004,妄,wàng
1005,娃,wá
1006,丸,wán
1007,亡,wáng
1008,卫,wèi
1009,问,wèn
1010,瓮,wèng
1011,韦,wéi
1012,文,wén
1013,肟,wò
1014,兀,wù
1015,毋,wú
1016,穵,wā
1017,歪,wāi
1018,弯,wān
1019,汪,wāng
1020,危,wēi
1021,温,wēn
1022,翁,wēng
1023,伪,wěi
1024,刎,wěn
1025,蓊,wěng
1026,挝,wō
1027,乌,wū
1028,瓦,wǎ
1029,崴,wǎi
1030,宛,wǎn
1031,网,wǎng
1032,我,wǒ
1033,午,wǔ
1034,礂,xi
1035,下,xià
1036,岘,xiàn
1037,向,xiàng
1038,孝,xiào
1039,匣,xiá
1040,闲,xián
1041,详,xiáng
1042,崤,xiáo
1043,缷,xiè
1044,邪,xié
1045,诇,xiòng
1046,雄,xióng
1047,秀,xiù
1048,虲,xiā
1049,仙,xiān
1050,乡,xiāng
1051,枭,xiāo
1052,些,xiē
1053,写,xiě
1054,凶,xiōng
1055,休,xiū
1056,冼,xiǎn
1057,享,xiǎng
1058,小,xiǎo
1059,朽,xiǔ
1060,蓿,xu
1061,泫,xuàn
1062,玄,xuán
1063,血,xuè
1064,穴,xué
1065,轩,xuān
1066,削,xuē
1067,雪,xuě
1068,选,xuǎn
1069,戏,xì
1070,囟,xìn
1071,兴,xìng
1072,习,xí
1073,邢,xíng
1074,旭,xù
1075,讯,xùn
1076,徐,xú
1077,驯,xún
1078,夕,xī
1079,心,xīn
1080,星,xīng
1081,戌,xū
1082,勋,xūn
1083,洗,xǐ
1084,醒,xǐng
1085,许,xǔ
1086,呀,ya
1087,軅,yan
1088,鶍,yi
1089,粌,yin
1090,軈,ying
1091,荢,yu
1092,鈨,yuan
1093,繧,yun
1094,肙,yuàn
1095,元,yuán
1096,月,yuè
1097,鸢,yuān
1098,曰,yuē
1099,远,yuǎn
1100,轧,yà
1101,闫,yàn
1102,怏,yàng
1103,钥,yào
1104,牙,yá
1105,延,yán
1106,羊,yáng
1107,爻,yáo
1108,叶,yè
1109,爷,yé
1110,弋,yì
1111,印,yìn
1112,映,yìng
1113,仪,yí
1114,吟,yín
1115,迎,yíng
1116,用,yòng
1117,又,yòu
1118,喁,yóng
1119,尢,yóu
1120,肀,yù
1121,孕,yùn
1122,于,yú
1123,匀,yún
1124,丫,yā
1125,恹,yān
1126,央,yāng
1127,幺,yāo
1128,掖,yē
1129,也,yě
1130,一,yī
1131,阴,yīn
1132,应,yīng
1133,哟,yō
1134,佣,yōng
1135,优,yōu
1136,纡,yū
1137,晕,yūn
1138,哑,yǎ
1139,兖,yǎn
1140,仰,yǎng
1141,杳,yǎo
1142,乙,yǐ
1143,尹,yǐn
1144,郢,yǐng
1145,永,yǒng
1146,友,yǒu
1147,与,yǔ
1148,允,yǔn
1149,鏱,zhang
1150,著,zhe
1151,啭,zhuàn
1152,壮,zhuàng
1153,坠,zhuì
1154,灼,zhuó
1155,抓,zhuā
1156,拽,zhuāi
1157,专,zhuān
1158,妆,zhuāng
1159,隹,zhuī
1160,拙,zhuō
1161,转,zhuǎn
1162,乍,zhà
1163,债,zhài
1164,占,zhàn
1165,丈,zhàng
1166,召,zhào
1167,札,zhá
1168,宅,zhái
1169,讝,zhán
1170,这,zhè
1171,圳,zhèn
1172,正,zhèng
1173,折,zhé
1174,阤,zhì
1175,执,zhí
1176,仲,zhòng
1177,纣,zhòu
1178,妯,zhóu
1179,伫,zhù
1180,竹,zhú
1181,扎,zhā
1182,斋,zhāi
1183,沾,zhān
1184,张,zhāng
1185,钊,zhāo
1186,蜇,zhē
1187,贞,zhēn
1188,争,zhēng
1189,者,zhě
1190,诊,zhěn
1191,拯,zhěng
1192,之,zhī
1193,中,zhōng
1194,舟,zhōu
1195,朱,zhū
1196,迍,zhūn
1197,苲,zhǎ
1198,窄,zhǎi
1199,斩,zhǎn
1200,仉,zhǎng
1201,爪,zhǎo
1202,止,zhǐ
1203,肿,zhǒng
1204,肘,zhǒu
1205,主,zhǔ
1206,准,zhǔn
1207,子,zi
1208,鯐,zou
1209,鶎,zun
1210,蓙,zuo
1211,攥,zuàn
1212,最,zuì
1213,阼,zuò
1214,昨,zuó
1215,钻,zuān
1216,纗,zuī
1217,繤,zuǎn
1218,嘴,zuǐ
1219,左,zuǒ
1220,再,zài
1221,暂,zàn
1222,奘,zàng
1223,皂,zào
1224,杂,zá
1225,咱,zán
1226,凿,záo
1227,仄,zè
1228,谮,zèn
1229,锃,zèng
1230,则,zé
1231,贼,zéi
1232,字,zì
1233,纵,zòng
1234,奏,zòu
1235,銌,zùn
1236,足,zú
1237,匝,zā
1238,灾,zāi
1239,糌,zān
1240,赃,zāng
1241,遭,zāo
1242,鄫,zēng
1243,怎,zěn
1244,孜,zī
1245,宗,zōng
1246,邹,zōu
1247,租,zū
1248,尊,zūn
1249,咋,zǎ
1250,宰,zǎi
1251,昝,zǎn
1252,驵,zǎng
1253,早,zǎo
1254,仔,zǐ
1255,总,zǒng
1256,走,zǒu
1257,诅,zǔ
1258,撙,zǔn
1259,艾,ài
1260,犴,àn
1261,盎,àng
1262,岙,ào
1263,嗄,á
1264,捱,ái
1265,昂,áng
1266,敖,áo
1267,厄,è
1268,摁,èn
1269,二,èr
1270,讹,é
1271,诶,éi
1272,儿,ér
1273,怄,òu
1274,哦,ó
1275,阿,ā
1276,哎,āi
1277,安,ān
1278,肮,āng
1279,凹,āo
1280,钶,ē
1281,恩,ēn
1282,頋,ě
1283,尔,ěr
1284,嗯,ń
1285,喔,ō
1286,讴,ōu
1287,矮,ǎi
1288,俺,ǎn
1289,拗,ǎo
1290,呕,ǒu
