0,bai,薭
0,ban,螁
0,bao,藵
164,shuǐ,水,water
164,shà,啥,what?
165,shài,晒,dry in sun
165,shàn,讪,abuse
165,shàng,上,top
165,shào,劭,encourage
165,sháo,勺,spoon
166,shè,厍,surname
166,shèn,肾,kidneys
166,shèng,圣,holy
166,shé,舌,tongue
166,shén,什,mixed
167,shéng,绳,rope
167,shì,士,scholar
167,shí,十,ten
167,shòu,寿,old age
167,shù,术,art
168,shùn,顺,obey
168,shú,赎,buy
168,shā,杀,kill
168,shāi,筛,sieve
168,shān,彡,hair
169,shāng,伤,wound
169,shāo,捎,to take
169,shē,猞
169,shēn,申,report
169,shēng,升,arise
170,shě,舍,house
170,shěn,邥
170,shěng,省,save
170,shī,尸,corpse
170,shōu,收,collect
171,shū,殳,kill
171,shǎ,傻,silly
171,shǎi,繺
171,shǎn,闪,flash
171,shǎng,晌,noon
172,shǎo,少,few
172,shǐ,矢,vow
172,shǒu,手,hand
172,shǔ,暑,hot
172,shǔn,吮,sip
173,su,鯂
173,suo,嗦,suck
173,suàn,祘,to calculate
173,suì,岁,year
173,suí,绥,soothe
174,suò,逤
174,suān,酸,tart
174,suī,虽,although
174,suō,娑,dance
174,suǐ,髓,essences
175,suǒ,所,place
175,sà,卅,thirty
175,sài,赛,race
175,sàn,散,scatter
175,sàng,丧,mourn
176,sào,埽,broom
176,sè,色,hue
176,sì,四,four
176,sòng,讼,accuse
176,sòu,嗽,cough
177,sù,夙,dawn
177,sú,俗,vulgar
177,sā,撒,relax
177,sāi,腮,jaw
177,sān,三,three
178,sāng,桑,surname
178,sāo,搔,to scratch
178,sēn,森,forest
178,sēng,僧,monk
178,sī,丝,silk
179,sōng,忪,quiet
179,sōu,蓃
179,sū,苏
179,sūn,孙,surname
179,sǎ,洒,pour
180,sǎn,伞,umbrella
180,sǎng,嗓,voice
180,sǎo,扫,sweep
180,sǐ,死,die
180,sǒng,怂,arouse
181,sǒu,叟,elder
181,sǔn,隼,a falcon
181,tai,粏
181,ti,笹,small bamboo
181,tian,碵
182,tiào,粜,sell grains
182,tián,田,field
182,tiáo,条,clause
182,tiān,天,sky
182,tiāo,佻,delay
183,tiē,帖,notice
183,tiě,铁,iron
183,tiǎn,忝,ashamed
183,tiǎo,窕,slender
183,tu,莵,dodder
184,tuàn,彖,a hog
184,tuán,团,ball
184,tuì,退,retreat
184,tuí,颓,ruined
184,tuò,柝
185,tuó,陁,a steep bank
185,tuān,湍,rapids
185,tuī,推,push
185,tuō,乇,to depend on
185,tuǎn,疃,hamlet
186,tuǐ,腿,legs
186,tuǒ,妥,satisfactory
186,tà,拓,expand
186,tài,太,very
186,tàn,叹,sigh
187,tàng,烫,scald
187,tào,套,case
187,tá,蹹,to walk
187,tái,台,unit
187,tán,坛,altar
188,táng,饧,sugar
188,táo,迯,flee
188,tè,忑,timid
188,téng,疼,aches
188,tì,迏
189,tí,荑,tares
189,tíng,廷,court
189,tòng,恸,grief
189,tòu,透,penetrate
189,tóng,仝,same
190,tóu,头,head
190,tù,兔,hare
190,tú,图,map
190,tún,屯,camp
190,tā,它,it
191,tāi,胎,fetus
191,tān,坍,collapse
191,tāng,汤,soup
191,tāo,绦,ribbon
191,tēng,膯
192,tī,剔,pick out
192,tīng,厅,hall
192,tōng,通,common
192,tōu,偷,thief
192,tū,凸,convex
193,tūn,吞,annex
193,tǎ,塔,tower
193,tǎn,忐,timorous
193,tǎng,帑,a treasury
193,tǎo,讨,beg
194,tǐ,体,body
194,tǐng,挺,rigid
194,tǒng,统,govern
194,tǒu,紏
194,tǔ,土,soil
195,tǔn,氽,to float
195,wa,哇,vomit
195,wà,袜,socks
195,wài,外,out
195,wàn,万,ten thousand
196,wàng,妄,absurd
196,wá,娃,baby
196,wán,丸,pill
196,wáng,亡,death
196,wèi,卫,guard
197,wèn,问,ask about
197,wèng,瓮,earthen jar
197,wéi,韦,surname
197,wén,文,culture
197,wò,沃,water
198,wù,勿,never
198,wú,毋,not
198,wā,穵
198,wāi,歪,slant
198,wān,弯,bend
199,wāng,汪,vast
199,wēi,危,high
199,wēn,温,lukewarm
199,wēng,翁,old man
199,wěi,伪,false
200,wěn,刎,behead
200,wěng,蓊,lush
200,wō,挝,to beat
200,wū,乌,crow
200,wǎ,瓦,tile
201,wǎi,崴,high
201,wǎn,宛,seem
201,wǎng,网,net
201,wǒ,我,i
201,wǔ,午,noon
202,xi,礂
202,xià,下,under
202,xiàn,岘,steep hill
202,xiàng,向,toward
202,xiào,孝,mourning
203,xiá,匣,case
203,xián,闲,fence
203,xiáng,详,detailed
203,xiáo,淆,confused
203,xiè,缷,lay down
204,xié,邪,wrong
204,xiòng,诇,to spy
204,xióng,雄,hero
204,xiù,秀,refined
204,xiā,虲
205,xiān,仙,immortal
205,xiāng,乡,rural
205,xiāo,枭,owl thus
205,xiē,些,few
205,xiě,写,write
206,xiōng,凶,bad
206,xiū,休,rest
206,xiǎn,冼,a surname
206,xiǎng,享,enjoy
206,xiǎo,小,small
207,xiǔ,朽,rot
207,xu,蓿,clover
207,xuàn,泫,weep
207,xuán,玄,deep
207,xuè,血,blood
208,xué,穴,cave
208,xuān,轩,high
208,xuē,削,pare
208,xuě,雪,snow
208,xuǎn,选,choose
209,xì,戏,show
209,xìn,囟,skull
209,xìng,兴,thrive
209,xí,习,practice
209,xíng,邢
210,xù,旭,radiant
210,xùn,讯,ask
210,xú,徐,slowly
210,xún,驯,tame
210,xī,夕,dusk
211,xīn,心,heart
211,xīng,星,a star
211,xū,吁
211,xūn,勋,rank
211,xǐ,洗,wash
212,xǐng,醒,wake up
212,xǔ,许,allow
212,yan,軅
212,yi,鶍
212,yin,粌
213,ying,軈,soon
213,yu,荢
213,yuan,鈨
213,yun,繧
213,yuàn,肙,empty
214,yuán,元,first
214,yuè,月,moon
214,yuān,鸢,kite
214,yuē,曰,say
214,yuǎn,远,far
215,yà,轧,grind
215,yàn,闫,village gate
215,yàng,怏,sad
215,yào,钥,key
215,yá,牙,tooth
216,yán,延,delay
216,yáng,羊,sheep
216,yáo,姚,handsome
216,yè,叶,to rhyme
216,yé,爷,father
217,yì,弋,catch
217,yìn,印,print
217,yìng,映,project
217,yí,仪,admire
217,yín,吟,sing
218,yíng,迎,greet
218,yòng,用,use
218,yòu,又,and
218,yóng,颙,solemn
218,yóu,尢,weak
219,yù,肀,pen
219,yùn,孕,pregnancy
219,yú,于,in
219,yún,匀,equal
219,yā,丫,forked
220,yān,恹,calm
220,yāng,央,beg
220,yāo,幺,one
220,yē,掖,tuck in
220,yě,也,also
221,yī,一,a
221,yīn,阴
221,yīng,应,must
221,yō,哟,ah
221,yōng,拥,hug
222,yōu,优,actor
222,yū,纡,bend
222,yūn,晕,fog
222,yǎ,哑,dumb
222,yǎn,兖,establish
223,yǎng,仰,admire
223,yǎo,杳,dark
223,yǐ,乙,second
223,yǐn,尹,govern
223,yǐng,郢
224,yǒng,永,long
224,yǒu,友,friend
224,yǔ,与,and
224,yǔn,允,to grant
224,zhang,鏱
225,zhe,著,manifest
225,zhuàn,啭,sing
225,zhuàng,壮,big
225,zhuì,坠,drop
225,zhuó,灼,burn
226,zhuā,抓,grab
226,zhuāi,拽,drag
226,zhuān,专,monopolize
226,zhuāng,妆,dress up
226,zhuī,隹,bird
227,zhuō,拙,stupid
227,zhuǎn,转,shift
227,zhà,乍,first time
227,zhài,债,debt
227,zhàn,占,divine
228,zhàng,丈,man
228,zhào,召,summon
228,zhá,札,note
228,zhái,宅,home
228,zhán,讝
229,zhè,这,this
229,zhèn,阵,column
229,zhèng,正,right
229,zhé,折,snap
229,zhì,阤,hill
230,zhí,执,keep
230,zhòng,仲,surname
230,zhòu,纣,saddle part
230,zhóu,妯
230,zhù,伫
231,zhú,竹,bamboo
231,zhā,扎,pull up
231,zhāi,斋,study
231,zhān,沾,wet
231,zhāng,张,sheet
232,zhāo,钊,cut
232,zhē,蜇,jellyfish
232,zhēn,贞,pure
232,zhēng,争,fight
232,zhě,者,he who
233,zhěn,诊,diagnose
233,zhěng,拯,help
233,zhī,之,it
233,zhōng,中,central
233,zhōu,舟,boat
234,zhū,朱,cinnabar
234,zhūn,迍,falter
234,zhǎ,苲
234,zhǎi,窄,narrow
234,zhǎn,斩,cut
235,zhǎng,长,long
235,zhǎo,爪,claw
235,zhǐ,止,stop
235,zhǒng,肿,swell
235,zhǒu,肘,the elbow
236,zhǔ,主,host
236,zhǔn,准,allow
236,zi,子,child
236,zou,鯐
236,zun,鶎
237,zuo,蓙,a mat
237,zuàn,攥,grip
237,zuì,最,most
237,zuò,坐,sit
237,zuó,昨,past
238,zuān,钻,drill
238,zuī,纗
238,zuǎn,繤,edit
238,zuǐ,嘴,mouth
238,zuǒ,左,left
239,zài,再,re-
239,zàn,暂,temporary
